variant,subnode,route_px,stretch_vs_full
funneling,room_5_subnode_28,1111.491843827904,1.2070960662794858
funneling,room_5_subnode_29,1115.9526003572428,1.289691631679557
funneling,room_5_subnode_30,981.7298002017636,1.223490136370923
funneling,room_5_subnode_31,743.4342159167473,1.0
funneling,room_6_subnode_1,906.0637997111918,1.1261141640718557
funneling,room_6_subnode_2,875.4892458843316,1.0662937253371072
funneling,room_6_subnode_3,863.6207827399193,1.0353758834729825
funneling,room_6_subnode_4,866.2769377117667,1.00446692453509
funneling,room_6_subnode_5,904.6992508298953,1.007401976839414
funneling,room_6_subnode_6,851.145678840208,1.1153785659354176
funneling,room_6_subnode_7,818.2179616312263,1.049914962457973
funneling,room_6_subnode_8,809.4174618084486,1.0047509373755743
funneling,room_6_subnode_9,847.2449211410022,1.0071253145593346
funneling,room_6_subnode_10,852.2763686029508,1.2041146502270828
funneling,room_6_subnode_11,790.2441189258676,1.0968534937483365
funneling,room_6_subnode_12,748.8782183377874,1.0035908708046235
funneling,room_6_subnode_13,787.5624278954953,1.006405721229773
funneling,room_6_subnode_14,849.6349661068492,1.0242120628032962
funneling,room_6_subnode_15,749.058630800706,1.1330922612547036
funneling,room_6_subnode_16,691.0586308007059,1.005350278368185
funneling,room_6_subnode_17,851.5155357167731,1.1105391871997805
funneling,room_6_subnode_18,814.058630800706,1.360892343327697
funneling,room_6_subnode_19,632.0247422281242,1.0044220795282963
funneling,room_6_subnode_20,795.1488039451866,1.1785554584943698
funneling,room_6_subnode_21,847.6178424345663,1.1867612120712494
funneling,room_6_subnode_22,909.6259064262762,1.1806118127908547
funneling,room_6_subnode_23,568.2125176939489,1.0038927605209085
funneling,room_6_subnode_24,856.7361403058379,1.3861324427248052
funneling,room_6_subnode_25,858.6547091824162,1.278080400192639
funneling,room_6_subnode_26,912.8328713772877,1.2495110491822123
funneling,room_6_subnode_27,511.9097646529119,1.0
funneling,room_6_subnode_28,917.2753837764991,1.6071113904901866
funneling,room_6_subnode_29,921.7361403058379,1.473027447512497
funneling,room_6_subnode_30,918.1357986142685,1.3330041870130922
funneling,room_6_subnode_31,970.9706387922823,1.2951749588824948
funneling,room_7_subnode_1,555.9947266206968,1.0152921988589938
funneling,room_7_subnode_2,431.407572868307,1.0
funneling,room_8_subnode_1,448.5608161490092,1.0
funneling,room_8_subnode_2,574.2240632795388,1.0147757779535551
funneling,room_9_subnode_1,666.4777993384151,1.0125740490808164
