variant,subnode,route_px,stretch_vs_full
funneling,room_18_subnode_45,1548.1025818755566,1.028565131484468
funneling,room_18_subnode_46,1597.3668206826571,1.0458253658596006
funneling,room_18_subnode_47,1654.2920340706899,1.058046362190557
funneling,room_18_subnode_48,1769.7707648215658,1.0656427154004606
funneling,room_19_subnode_1,2138.5951325029487,1.0
funneling,room_20_subnode_1,2642.105519615855,1.0
funneling,room_20_subnode_2,2702.138843695069,1.0
funneling,room_20_subnode_3,2764.2113819064234,1.0
funneling,room_20_subnode_4,2460.024419398501,1.0
funneling,room_20_subnode_5,2518.024419398501,1.0
funneling,room_20_subnode_6,2766.0919515163478,1.0
funneling,room_21_subnode_1,1254.9764907500262,1.0255101922331467
funneling,room_21_subnode_2,1205.6061933637639,1.0339259311716482
funneling,room_21_subnode_3,1253.7052064969207,1.0035280294617726
funneling,room_21_subnode_4,1197.705206496921,1.0036930071014865
funneling,room_21_subnode_5,1071.449092928552,1.0
funneling,room_21_subnode_6,1300.605491573105,1.012022704820699
funneling,room_21_subnode_7,1243.0468258484723,1.0123510633761825
funneling,room_21_subnode_8,1181.014576171389,1.009976303609117
funneling,room_21_subnode_9,1131.4574256832623,1.0142971956941655
funneling,room_21_subnode_10,1130.1176535040427,1.0474615143823112
one-per-room,room_2_subnode_1,344.3790477670093,2.2122901754235
one-per-room,room_2_subnode_2,294.96635783803856,2.9134700165256433
one-per-room,room_2_subnode_3,280.8605410885884,2.540918105238623
one-per-room,room_2_subnode_4,325.3219422509576,1.901037755738398
one-per-room,room_2_subnode_5,351.294899175919,1.7373600978920052
one-per-room,room_2_subnode_6,290.15548860067366,1.8904743932326005
one-per-room,room_2_subnode_7,237.95494389164298,2.007862000467404
one-per-room,room_2_subnode_8,204.55470742356277,1.983632204017244
one-per-room,room_2_subnode_9,215.08409128089616,1.6851856286339806
one-per-room,room_2_subnode_10,273.66944584430587,1.6736392537630262
one-per-room,room_2_subnode_11,327.2779704812917,1.5145266970925122
one-per-room,room_2_subnode_12,310.1357401927443,1.4685023665606314
one-per-room,room_2_subnode_13,250.03319231799372,1.4372097405704216
one-per-room,room_2_subnode_14,199.00356149990134,1.2117031103978952
one-per-room,room_2_subnode_15,233.45392558912482,1.2420222110501635
one-per-room,room_2_subnode_16,294.02305456272825,1.3284098827697761
one-per-room,room_2_subnode_17,350.19473899478066,1.280558622488103
one-per-room,room_2_subnode_18,294.6266447085126,1.2290093865876948
one-per-room,room_2_subnode_19,244.01324441568403,1.135498160712348
one-per-room,room_2_subnode_20,209.00306653664217,1.0090998364264987
one-per-room,room_2_subnode_21,230.8086405833201,1.030210945941186
one-per-room,room_2_subnode_22,277.7284280075626,1.1222381195576796
one-per-room,room_2_subnode_23,334.15656430777295,1.1727029788679428
one-per-room,room_2_subnode_24,349.26214861242227,1.158302004385307
one-per-room,room_2_subnode_25,298.63006706708745,1.0977859595228858
one-per-room,room_2_subnode_26,267.687065691624,1.0262237071190312
one-per-room,room_2_subnode_27,262.4159188840473,1.000269593036905
one-per-room,room_2_subnode_28,289.86246583079355,1.0318592390300059
one-per-room,room_2_subnode_29,335.8425265080749,1.083103796155564
one-per-room,room_3_subnode_1,2238.324222319096,1.0062444995270474
one-per-room,room_3_subnode_2,2228.2816883737396,1.0035432439218106
one-per-room,room_3_subnode_3,2248.8403540983722,1.0235149934855523
one-per-room,room_8_subnode_1,454.1825071538056,1.2304955291887338
one-per-room,room_10_subnode_1,2383.012581832666,1.0419239415199508
one-per-room,room_10_subnode_2,2342.4296677084576,1.034763350178981
one-per-room,room_10_subnode_3,2392.590174967029,1.0792082201143613
one-per-room,room_11_subnode_1,551.4124541274991,1.157275567156445
one-per-room,room_12_subnode_1,666.6613118567586,1.0945576044194258
one-per-room,room_15_subnode_1,1820.3659642941368,1.0434201883615581
one-per-room,room_15_subnode_2,1820.4343051681917,1.0372506622625373
one-per-room,room_15_subnode_3,1840.8298280395156,1.0242497170993645
one-per-room,room_15_subnode_4,1837.633546757526,1.0138603907058725
one-per-room,room_15_subnode_5,1853.755371558526,1.003274082921715
one-per-room,room_15_subnode_6,1846.7663285775789,1.000872273270343
one-per-room,room_18_subnode_1,1682.3899896354399,1.07377904819586
one-per-room,room_18_subnode_2,1630.1506973228243,1.0815587698884481
one-per-room,room_18_subnode_3,1588.9305423538017,1.0913712330320766
one-per-room,room_18_subnode_4,1679.3756094289758,1.0633192399107472
one-per-room,room_18_subnode_5,1621.7897796556033,1.0686367196579303
one-per-room,room_18_subnode_6,1572.0295230444972,1.0766680844155105
one-per-room,room_18_subnode_7,1532.3852539028721,1.0885652695178787
one-per-room,room_18_subnode_8,1497.9133729870339,1.1064718805034275
one-per-room,room_18_subnode_9,1695.336788982555,1.0533479589952903
one-per-room,room_18_subnode_10,1631.9213343660053,1.0565757845803752
one-per-room,room_18_subnode_11,1582.0851990889396,1.0599661070304003
one-per-room,room_18_subnode_12,1524.74445366539,1.0666205048101371
one-per-room,room_18_subnode_13,1474.4894899365713,1.0757970027310528
one-per-room,room_18_subnode_14,1430.4198311870446,1.0925055367396397
one-per-room,room_18_subnode_15,1471.8963852000115,1.084269874031259
one-per-room,room_18_subnode_16,1519.8253803121527,1.0737175025496126
one-per-room,room_18_subnode_17,1568.5104372435349,1.0665360723919894
one-per-room,room_18_subnode_18,1596.7402008684892,1.0478177077968591
one-per-room,room_18_subnode_19,1534.1896841032885,1.0486411506749804
one-per-room,room_18_subnode_20,1480.8767930100325,1.0459529550484667
one-per-room,room_18_subnode_21,1420.868920730202,1.04477810279558
one-per-room,room_18_subnode_22,1379.4715292299845,1.03908920767291
one-per-room,room_18_subnode_23,1415.436174436716,1.044613952490345
one-per-room,room_18_subnode_24,1476.8095104644674,1.0534027624130136
one-per-room,room_18_subnode_25,1533.4578610372935,1.052223875436907
one-per-room,room_18_subnode_26,1590.8801893553682,1.0535506584809786
one-per-room,room_18_subnode_27,1648.1317924680677,1.0511659077434703
one-per-room,room_18_subnode_28,1507.0263919232084,1.0312064931062725
one-per-room,room_18_subnode_29,1452.4927013663553,1.0233544642517367
one-per-room,room_18_subnode_30,1400.8759283729867,1.0064911221836017
one-per-room,room_18_subnode_31,1389.5770893038462,1.0053557734778382
one-per-room,room_18_subnode_32,1448.6415906787674,1.0249641343211053
one-per-room,room_18_subnode_33,1503.894985681857,1.035771325515894
one-per-room,room_18_subnode_34,1560.2662315976088,1.0384050419009576
one-per-room,room_18_subnode_35,1620.2593519511809,1.0414540851248832
one-per-room,room_18_subnode_36,1678.8382302784191,1.0425049586377204
one-per-room,room_18_subnode_37,1457.2646362416237,1.0052686447240993
one-per-room,room_18_subnode_38,1435.4584029017528,1.0000190873211612
one-per-room,room_18_subnode_39,1452.0525084070173,1.0073274633946272
one-per-room,room_18_subnode_40,1496.5781243424199,1.017897322323187
one-per-room,room_18_subnode_41,1549.8524074004367,1.025612270709961
one-per-room,room_18_subnode_42,1604.8583516363735,1.031630572776052
one-per-room,room_18_subnode_43,1664.5744680695964,1.0333591749148328
one-per-room,room_18_subnode_44,1493.6985176375283,1.000900399204565
one-per-room,room_18_subnode_45,1514.4895683360596,1.0062325198761624
one-per-room,room_18_subnode_46,1548.7418342166009,1.013989695052911
one-per-room,room_18_subnode_47,1595.8919887878528,1.0206950637555254
one-per-room,room_18_subnode_48,1707.768548491781,1.028308947952234
one-per-room,room_19_subnode_1,2212.399454230565,1.03451065636778
one-per-room,room_21_subnode_1,1244.8268009168341,1.0172163234247174
one-per-room,room_21_subnode_2,1205.3255020963115,1.033685210792415
one-per-room,room_21_subnode_3,1252.0958365277,1.0022398096589693
one-per-room,room_21_subnode_4,1197.4245152294684,1.003457784059315
one-per-room,room_21_subnode_5,1207.293344268985,1.1267855395435866
one-per-room,room_21_subnode_6,1285.7317262048784,1.0004491812915812
one-per-room,room_21_subnode_7,1229.2003122208253,1.0010743097547465
one-per-room,room_21_subnode_8,1180.7338849039368,1.0097362629402915
one-per-room,room_21_subnode_9,1197.9377720485402,1.0738936306606497
one-per-room,room_21_subnode_10,1241.4683416348016,1.1506680788097554
