floor,src,dst,d_graph_px,d_geo_full_px,d_geo_interior_px,d_euclid_px,stretch_full,stretch_interior,geo_over_euclid
FF part 2up,room_4,exit_door_5,2893.7134552262846,,,785.6112270073538,,,
FF part 2up,room_4,exit_door_6,2741.3405091376735,,,611.0523709143105,,,
FF part 2up,room_4,exit_door_7,2353.844289529812,,,437.47571361162437,,,
FF part 2up,room_4,exit_door_8,2752.1570913765527,,,1108.881418367176,,,
FF part 2up,room_4,exit_door_9,2120.000378327199,,,664.4636935153042,,,
FF part 2up,room_4,exit_door_10,1816.2614527075739,,,775.9052777240273,,,
FF part 2up,room_5,exit_door_1,3030.3275444068013,682.9360748630708,,667.4220928318151,4.43720526114305,,1.0232446336402068
FF part 2up,room_5,exit_door_2,3043.2591549074264,908.700576850889,2763.0722933011457,753.8602324038588,3.3490230252234148,1.101404100893622,1.2053966210066362
FF part 2up,room_5,exit_door_3,2949.1510639280664,871.2447327281731,,741.3833353940456,3.384985817582207,,1.1751609338037063
FF part 2up,room_5,exit_door_4,2832.08808821604,474.93607486307076,,459.9796191137168,5.963093220561444,,1.0325154748772822
FF part 2up,room_5,exit_door_5,2912.4065465237704,548.9360748630708,,534.1556421119222,5.3055477311274455,,1.0276706480019762
FF part 2up,room_5,exit_door_6,2760.0336004351593,372.4507934888322,,360.63451027321275,7.410465083404147,,1.0327652592278747
FF part 2up,room_5,exit_door_7,2372.537380827298,183.19595949289325,,190.95352837797998,12.950817187206228,,0.9593745716511133
FF part 2up,room_5,exit_door_8,2770.8501826740385,1009.6955262170064,2582.2194795587593,860.0234008444189,2.7442432998148396,1.0730498335282916,1.1740326196073632
FF part 2up,room_5,exit_door_9,2138.693469624684,502.33304448274123,,439.96960122262993,4.257520967641944,,1.1417448912079602
FF part 2up,room_5,exit_door_10,1834.9545440050592,625.862048458377,1777.8763338082517,602.0666491344625,2.931883389518374,1.0321047134220773,1.0395228657128293
FF part 2up,room_6,exit_door_1,86.880665282904,63.65685424949238,63.65685424949238,86.880665282904,1.3648281289928306,1.3648281289928306,0.7326929880452757
FF part 2up,room_6,exit_door_2,210.59521473130124,137.62236636408608,137.62236636408608,151.79344518127257,1.530239744418885,1.530239744418885,0.9066423533620749
FF part 2up,room_6,exit_door_3,116.48712375194093,103.68124086713183,103.68124086713183,116.48712375194093,1.1235120526886817,1.1235120526886817,0.8900661079753399
FF part 2up,room_6,exit_door_4,322.4832048582042,263.65685424949237,,202.9710570500139,1.2231170920102301,,1.2989874422564835
FF part 2up,room_6,exit_door_5,242.80166316593483,189.65685424949237,,137.5,1.2802155984646397,,1.3793225763599446
FF part 2up,room_6,exit_door_6,410.42871707732354,363.65685424949237,,295.8804657289832,1.1286153754048112,,1.2290667900414558
FF part 2up,room_6,exit_door_7,842.3437524390054,687.7401153701779,,463.7577492614005,1.2247995043674478,,1.4829727728873554
FF part 2up,room_6,exit_door_8,294.7880050059691,242.13203435596395,,261.51911975991356,1.2174680057930476,,0.9258674263596947
FF part 2up,room_6,exit_door_9,1301.048181195782,935.9554108468278,,365.104437113547,1.3900749609627534,,2.563527899705439
FF part 2up,room_6,exit_door_10,1282.2536656846457,918.8670990922597,,564.5566844879263,1.39547238871799,,1.627590504797062
FF part 2up,room_6,room_34,1154.2787467336357,1173.6955262170054,,828.5270061983496,0.9834567150937749,,1.4166050321068502
FF part 2up,room_7,exit_door_1,2993.574710935316,750.9604614807101,,672.9325746313667,3.986327995261854,,1.1159520133084466
FF part 2up,room_7,exit_door_2,3006.506321435941,976.7249634685284,2709.9595949289373,733.9082027065783,3.078150384074642,1.1094284678863562,1.3308544036794612
FF part 2up,room_7,exit_door_3,2912.398230456581,939.2691193458124,,727.0758213556547,3.100706890571496,,1.2918448004425687
FF part 2up,room_7,exit_door_4,2795.3352547445547,542.9604614807101,,472.38464200267987,5.148321936962744,,1.149403289613361
FF part 2up,room_7,exit_door_5,2875.653713052285,616.9604614807101,,543.3288598997848,4.6610016242381125,,1.1355194008919505
FF part 2up,room_7,exit_door_6,2723.280766963674,440.47518010647156,,378.0148806594788,6.182597544554958,,1.1652323827517728
FF part 2up,room_7,exit_door_7,2335.7845473558127,187.82337649086273,,170.76665365345775,12.436069412634824,,1.0998832176685895
FF part 2up,room_7,exit_door_8,2734.0973492025532,1070.714862200763,2529.106781186551,835.2498129302395,2.5535251687670137,1.0810525556061454,1.2819097300297027
