floor,src,dst,d_graph_px,d_geo_full_px,d_geo_interior_px,d_euclid_px,stretch_full,stretch_interior,geo_over_euclid
FF part 1upE,room_24,room_9,811.5895671606294,755.58787847868,755.58787847868,603.5250616171627,1.0741167113409822,1.0741167113409822,1.251957750443802
FF part 1upE,room_25,exit_door_1,1112.2501992674268,1052.9116882454316,1052.9116882454316,731.2449999829058,1.0563565887666009,1.0563565887666009,1.439889077217684
FF part 1upE,room_25,exit_door_2,2528.8242882388045,2483.862048458377,2483.862048458377,1751.3932311163019,1.0181017459517663,1.0181017459517663,1.4182206510386104
FF part 1upE,room_26,exit_door_1,2718.6468337885813,2646.26406871193,2646.26406871193,1705.1634818984367,1.027352812567902,1.027352812567902,1.5519122341077367
FF part 1upE,room_26,exit_door_2,936.3984128208721,883.8822509939088,883.8822509939088,498.83514310842213,1.0594153370179227,1.0594153370179227,1.7718925043775362
FF part 1upE,room_27,exit_door_1,2620.6815217694207,2549.2935059634533,2549.2935059634533,1753.0025670260725,1.0280030587450886,1.0280030587450886,1.4542440233206673
FF part 1upE,room_27,exit_door_2,1038.4331008017118,986.2253967444165,986.2253967444165,584.8392941654998,1.052936888696677,1.052936888696677,1.6863186290374856
FF part 1upE,room_27,room_32,1004.5336679458328,940.7005768508888,940.7005768508888,745.0157716451378,1.067856970289774,1.067856970289774,1.2626586075804025
FF part 1upE,room_28,exit_door_1,1303.4651119591101,1240.19090885901,1240.19090885901,965.772747596452,1.0510197282112905,1.0510197282112905,1.2841436165448972
FF part 1upE,room_28,exit_door_2,2390.333573445716,2335.210244842768,2335.210244842768,1462.4807691043325,1.0236052958078126,1.0236052958078126,1.5967459498786583
FF part 1upE,room_28,room_5,2431.1644638703287,2372.1707063234803,2372.1707063234803,1005.8103698013856,1.024869102965309,1.024869102965309,2.358467140075227
FF part 1upE,room_28,room_6,2407.6481625701613,2351.7686860699273,2351.7686860699273,1456.0831449474306,1.0237606176284348,1.0237606176284348,1.6151335136530502
FF part 1upE,room_28,room_25,443.6215747917396,392.3330444827411,392.3330444827411,365.7639265974708,1.130727021417781,1.130727021417781,1.0726400717873692
FF part 1upE,room_29,exit_door_1,1502.7445255887912,,,897.0252226108249,,,
FF part 1upE,room_29,exit_door_2,2417.897258322859,,,1797.9283217080708,,,
FF part 1upE,room_30,exit_door_1,1681.1984719374877,1630.333044482742,1630.333044482742,1064.6419585945314,1.031199408996144,1.031199408996144,1.531343970920513
FF part 1upE,room_30,exit_door_2,1991.4983909291695,1918.156420973606,1918.156420973606,1354.3775323003554,1.0382356564634792,1.0382356564634792,1.416264206417907
