from,to,dist_normal,dist_accessible,ratio
1_room_29,2_room_15,2171.3543957287793,4254.18227254388,1.959229815691157
1_room_29,2_room_27,2748.2773601080976,2748.2773601080976,1.0
1_room_29,2_room_28,2622.791514709844,3825.619391524944,1.4586059814777796
1_room_29,2_room_29,2822.0709283395254,3853.183076402087,1.3653742851421726
1_room_29,2_room_4,1782.5559677363265,4658.520929541275,2.613393920785077
1_room_29,2_room_6,3040.3069969193143,3553.5782528692976,1.1688221802831331
1_room_29,2_room_8,1838.482326421239,4561.3102032363395,2.4810193373549123
1_room_3,2_room_1,3967.754068703234,4798.979454977136,1.2094951884317688
1_room_3,2_room_13,1268.7211385726332,3024.835106997236,2.384160722978343
1_room_3,2_room_18,3502.926585759336,3907.913570461857,1.1156138944929477
1_room_3,2_room_25,3315.990463058143,3720.9774477606643,1.122131528788845
1_room_30,2_room_13,2372.1900501992704,2841.5688981609155,1.1978673032214329
1_room_30,2_room_19,2612.0567695161435,2624.8670749828643,1.0049042982588368
1_room_30,2_room_20,2535.637286155509,3613.612349228224,1.4251298357846451
1_room_30,2_room_21,2512.552671003084,3640.2333615605708,1.448818726696497
1_room_30,2_room_22,2529.2081990522283,2529.2081990522283,1.0
1_room_30,2_room_7,1992.7136312563737,4160.394321813861,2.08780341367505
1_room_31,2_room_13,2274.6488118207135,2744.0276597823577,1.206352226999796
1_room_31,2_room_17,2515.19827753267,3642.878968090157,1.4483466375715341
1_room_31,2_room_18,2549.131060174265,3627.1061232469797,1.4228794195458203
1_room_31,2_room_25,2712.4893099883,3440.170000545787,1.2682704362660235
1_room_31,2_room_30,2902.8441032361516,2902.8441032361516,1.0
1_room_31,2_room_31,2805.3028648575946,2805.3028648575946,1.0
1_room_31,2_room_5,2744.736006189622,3102.8600758819907,1.1304766902480847
1_room_32,2_room_1,2457.225169272868,4396.7348267942325,1.7893088845802831
1_room_32,2_room_29,3207.8057896618147,3207.8057896618147,1.0
1_room_32,2_room_32,2562.4285029215425,2562.4285029215425,1.0
1_room_32,2_room_34,3044.991498013903,3122.9665610866177,1.0256076455791663
1_room_33,2_room_1,3235.974860803147,4203.768789571973,1.29907337677173
1_room_33,2_room_16,1987.1698928403055,2659.3914532765684,1.3382808701250208
1_room_33,2_room_18,3312.702905056694,3312.702905056694,1.0
1_room_33,2_room_20,3201.6678926593813,3201.6678926593813,1.0
1_room_33,2_room_22,1986.463538284432,2117.2637424833856,1.0658457614137316
1_room_33,2_room_24,3101.4192743642757,3101.4192743642757,1.0
1_room_33,2_room_30,2588.4408850458663,2588.4408850458663,1.0
1_room_33,2_room_6,1883.9737742245488,2715.2349289067656,1.4412275616863972
1_room_33,2_room_7,2992.4849034400704,3748.4498652450184,1.2526211447001498
1_room_33,2_room_8,3016.7075449536324,3722.9668792738075,1.2341159438877694
1_room_34,2_room_1,1881.1946849430176,4957.272884959308,2.635172704152875
1_room_34,2_room_12,1872.361372098935,4286.904977666574,2.2895713624239713
1_room_34,2_room_14,1970.9181693578064,4195.167402410218,2.1285345417344996
1_room_34,2_room_16,3058.6638869598733,3412.8955486639043,1.1158125491376287
1_room_34,2_room_20,2180.628382479077,3955.1719880467163,1.8137762581766568
1_room_34,2_room_6,2955.4677683441173,3468.7390242941005,1.1736683652745628
1_room_4,2_room_2,761.1892916590945,5566.973119160156,7.31352001422187
1_room_4,2_room_23,3057.3122867068555,3893.2772485118053,1.2734313290270385
1_room_4,2_room_24,1417.4197609085086,4745.100451465996,3.347703046290662
1_room_4,2_room_3,3692.560394168807,4415.388270983908,1.1957524859868431
1_room_4,2_room_33,2960.7811862687204,3820.177605578746,1.2902600243799396
1_room_4,2_room_6,3685.793856678157,4358.916106008485,1.1826261249284797
1_room_4,2_room_7,774.7447243044788,5392.131042346738,6.959880942961544
1_room_5,2_room_10,3876.1813175880916,4245.8721094133425,1.095374999654373
1_room_5,2_room_16,1677.2480153344136,3271.35188249125,1.9504282327852391
1_room_5,2_room_18,3566.5392645790057,3924.6633342713744,1.100412204415936
1_room_5,2_room_22,1676.54166077854,2729.224171698066,1.6278892648755827
1_room_5,2_room_28,3241.112427084724,3599.2364967770927,1.1104941830155795
1_room_5,2_room_33,2112.3428892671022,2788.4568576917063,1.3200777543551125
1_room_6,2_room_18,3338.1701495364528,3851.441405486435,1.153758266642357
1_room_6,2_room_2,3703.942141204122,4462.030442488177,1.2046706650330143
1_room_6,2_room_21,3253.756149471487,3767.027405421469,1.1577473026161944
1_room_6,2_room_4,3685.7938566781554,4358.916106008484,1.18262612492848
1_room_7,2_room_18,1260.407108772278,4884.656341824689,3.8754592130019603
1_room_7,2_room_34,1637.7047275799416,4501.953960632352,2.7489411765238967
1_room_7,2_room_7,806.4484414758297,5320.403302013012,6.5973260389424055
1_room_8,2_room_16,3636.171112248101,4205.861904073354,1.156673262681809
1_room_8,2_room_21,1350.5101227361015,4774.759355788512,3.535522818677555
1_room_8,2_room_22,3143.74902893969,3663.73419328017,1.165402886666134
1_room_8,2_room_6,3741.72021536307,4261.70537970355,1.1389695472701247
1_room_8,2_room_8,854.8937245029529,5269.437330070592,6.163850755992292
1_room_8,2_room_9,941.8127856669009,5206.062018719313,5.527703698599591
1_room_9,2_room_15,1274.6848549744416,4898.934088026852,3.843251191781893
1_room_9,2_room_19,3326.326966034274,3696.017757859526,1.1111408456234855
1_room_9,2_room_2,904.0347115079551,5406.38708150394,5.980287053896344
1_room_9,2_room_28,1726.121973955506,4470.371207007916,2.589835060591812
1_room_9,2_room_7,917.5901441533395,5231.545004690522,5.701396247578127
1_room_9,2_room_9,1028.731846830849,5142.686707368032,4.999054635287894
